number,person,from,to
23,"Menzies, RG",29.8.1941,7.10.1941
23,"Hughes, WM",29.8.1941,7.10.1941
23,"Spender, PC",29.8.1941,7.10.1941
23,"McLeay, Senator G",29.8.1941,7.10.1941
23,"McEwen, J (CP)",29.8.1941,7.10.1941
23,"Foll, Senator HS",29.8.1941,7.10.1941
23,"Page, ECG (CP)",29.8.1941,7.10.1941
23,"Stewart, FH",29.8.1941,7.10.1941
23,"McBride, Senator PAM",29.8.1941,7.10.1941
23,"Harrison, EJ",29.8.1941,7.10.1941
23,"Holt, HE",29.8.1941,7.10.1941
23,"Collett, Senator HB",29.8.1941,7.10.1941
23,"Collins, TJ (CP)",29.8.1941,7.10.1941
23,"Leckie, Senator JW",29.8.1941,7.10.1941
23,"Anthony, HL (CP)",29.8.1941,7.10.1941
23,"Spooner, ES",29.8.1941,7.10.1941
23,"Abbott, JP (CP)",29.8.1941,7.10.1941
23,"McDonald, AMcK",29.8.1941,7.10.1941
24,"Curtin, J",7.10.1941,21.9.1943
24,"Forde, FM",7.10.1941,21.9.1943
24,"Chifley, JB",7.10.1941,21.9.1943
24,"Evatt, HV",7.10.1941,21.9.1943
24,"Beasley, JA",7.10.1941,21.9.1943
24,"Collings, Senator JS",7.10.1941,21.9.1943
24,"Makin, NJO",7.10.1941,21.9.1943
24,"Holloway, EJ",7.10.1941,21.9.1943
24,"Keane, Senator RV",7.10.1941,21.9.1943
24,"Drakeford, AS",7.10.1941,21.9.1943
24,"Scully, WJ",7.10.1941,21.9.1943
24,"Ashley, Senator WP",7.10.1941,21.9.1943
24,"Ward, EJ",7.10.1941,21.9.1943
24,"Frost, CW",7.10.1941,21.9.1943
24,"Dedman, JJ",7.10.1941,21.9.1943
24,"Lazzarini, HP",7.10.1941,21.9.1943
24,"Fraser, Senator JM",7.10.1941,17.10.1942
24,"Cameron, Senator D",7.10.1941,21.2.1942
24,"Lawson, G",7.10.1941,21.9.1943
25,"Curtin, J",21.9.1943,6.7.1945
25,"Forde, FM",21.9.1943,6.7.1945
25,"Chifley, JB",21.9.1943,2.2.1945
25,"Dedman, JJ",2.2.1945,19.2.1945
25,"Evatt, HV",21.9.1943,6.7.1945
25,"Beasley, JA",21.9.1943,6.7.1945
25,"Ashley, Senator WP",2.2.1945,2.2.1945
25,"Makin, NJO",21.9.1943,6.7.1945
25,"Keane, Senator RV",21.9.1943,6.7.1945
25,"Holloway, EJ",21.9.1943,6.7.1945
25,"Drakeford, AS",21.9.1943,6.7.1945
25,"Scully, WJ",21.9.1943,6.7.1945
25,"Cameron, Senator D",2.2.1945,2.2.1945
25,"Collings, Senator JS",21.9.1943,6.7.1945
25,"Ward, EJ",21.9.1943,6.7.1945
25,"Fraser, Senator JM",21.9.1943,6.7.1945
25,"Frost, CW",21.9.1943,6.7.1945
25,"Lazzarini, HP",21.9.1943,6.7.1945
25,"Calwell, AA",21.9.1943,6.7.1945
26,"Forde, FM",6.7.1945,13.7.1945
26,"Chifley, JB",6.7.1945,13.7.1945
26,"Evatt, HV",6.7.1945,13.7.1945
26,"Beasley, JA",6.7.1945,13.7.1945
26,"Makin, NJO",6.7.1945,13.7.1945
26,"Keane, Senator RV",6.7.1945,13.7.1945
26,"Holloway, EJ",6.7.1945,13.7.1945
26,"Drakeford, AS",6.7.1945,13.7.1945
26,"Scully, WJ",6.7.1945,13.7.1945
26,"Ashley, Senator WP",6.7.1945,13.7.1945
26,"Dedman, JJ",6.7.1945,13.7.1945
26,"Collings, Senator JS",6.7.1945,13.7.1945
26,"Ward, EJ",6.7.1945,13.7.1945
26,"Fraser, Senator JM",6.7.1945,13.7.1945
26,"Frost, CW",6.7.1945,13.7.1945
26,"Lazzarini, HP",6.7.1945,13.7.1945
26,"Cameron, Senator D",6.7.1945,13.7.1945
26,"Calwell, AA",6.7.1945,13.7.1945
