number,cabinet,cabinet_party,cabinet_from,cabinet_to,person,from,to
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Atkinson, L",9.2.1923,18.6.1926
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Crawford, Senator TW",14.2.1923,29.11.1928
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"McLachlan, Senator AJ",29.8.1926,22.10.1929
15,Bruce-Page Ministry,Nationalist-CP Coalition,9.2.1923,22.10.1929,"Ogden, Senator JE",29.11.1928,22.10.1929
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Scullin, JH",22.10.1929,29.1.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Theodore, EG",22.10.1929,6.1.1932
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Daly, Senator JJ",22.10.1929,6.1.1932
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Brennan, F",22.10.1929,6.1.1932
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Lyons, JA",22.10.1929,4.2.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Green, AE",4.2.1931,4.2.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Fenton, JE",22.10.1929,4.2.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Forde, FM",4.2.1931,4.2.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Blakeley, A",22.10.1929,6.1.1932
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Anstey, F",22.10.1929,3.3.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"McNeill, J",3.3.1931,6.1.1932
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Chifley, JB",3.3.1931,6.1.1932
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Moloney, PJ",22.10.1929,6.1.1932
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Culley, CE",3.3.1931,24.6.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Cunningham, LL",26.6.1931,6.1.1932
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Beasley, JA",22.10.1929,3.3.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Holloway, EJ",3.3.1931,12.6.1931
16,Scullin Ministry,ALP,22.10.1929,6.1.1932,"Barnes, Senator J",22.10.1929,3.3.1931
