number,ministry,ministry_party,ministry_from,ministry_to,level,job,person,job_from,job_to,comment,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Minister for External Affairs ,"Groom, LE (PROT)",2.6.1909,29.4.1910,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Attorney-General,"Glynn, PMcM (FT)",2.6.1909,29.4.1910,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Postmaster-General,"Quick, J (PROT)",2.6.1909,29.4.1910,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Minister for Home Affairs,"Fuller, GW (FT)",2.6.1909,29.4.1910,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Vice-President of Executive Council,"Millen, Senator ED (FT)",2.6.1909,29.4.1910,,,
7,Deakin Ministry,Protectionist-Free Trade-Tariff Reform ('Fusion'),2.6.1909,29.4.1910,Minister,Minister (without portfolio),"Foxton, JFG (FT)",2.6.1909,29.4.1910,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Prime Minister,"Fisher, A",29.4.1910,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Treasurer,"Fisher, A",29.4.1910,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Attorney-General,"Hughes, WM",29.4.1910,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Minister for External Affairs,"Batchelor, EL",29.4.1910,8.10.1911,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Minister for External Affairs,"Thomas, J",14.10.1911,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Postmaster-General,"Thomas, J",29.4.1910,14.10.1911,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Postmaster-General,"Frazer, CE",14.10.1911,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Minister for Defence,"Pearce, Senator GF",29.4.1910,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Minister for Trade and Customs ,"Tudor, FG",29.4.1910,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Minister for Home Affairs,"O'Malley, K",29.4.1910,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Vice-President of Executive Council,"McGregor, Senator G",29.4.1910,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Minister (without portfolio),"Findley, Senator E",29.4.1910,24.6.1913,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Minister (without portfolio),"Frazer, CE",29.4.1910,14.10.1911,,,
8,Fisher Ministry ,ALP,29.4.1910,24.6.1913,Minister,Minister (without portfolio),"Roberts, EA",23.10.1911,24.6.1913,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Prime Minister,"Cook, J",24.6.1913,17.9.1914,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Minister for Home Affairs,"Cook, J",24.6.1913,17.9.1914,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Treasurer,"Forrest, J",24.6.1913,17.9.1914,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Attorney-General ,"Irvine, WH",24.6.1913,17.9.1914,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Minister for Defence,"Millen, Senator ED",24.6.1913,17.9.1914,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Minister for External Affairs ,"Glynn, PMcM",24.6.1913,17.9.1914,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Minister for Trade and Customs ,"Groom, LE",24.6.1913,17.9.1914,,,
9,Cook Ministry ,LIB,24.6.1913,17.9.1914,Minister,Postmaster-General,"Wynne, A",24.6.1913,17.9.1914,,,
