uniqueID,senatorsState,senatorFrom,senatorTo,senatorEndReason,sec15Sel,senatorComments
Jessop1927,SA,1971-07-01,1987-06-05,Defeated,0,NA
Johnston1880,WA,1929-07-01,1942-09-06,Died,0,NA
Johnston1956,WA,2002-07-01,2016-07-02,Defeated,0,NA
JonesGerry1932,QLD,1981-07-01,1996-06-30,Retired,0,NA
Joyce1967,QLD,2005-07-01,2013-08-08,Resigned,0,NA
KakoschkeMoore1985,SA,2016-07-02,2017-11-22,Resigned,0,NA
Kane1908,NSW,1970-11-21,1974-05-18,Defeated,0,NA
Katz1887,VIC,1947-07-01,1951-03-19,Defeated,0,NA
Keane1881,VIC,1938-07-01,1946-04-26,Died,0,NA
Keating1872,TAS,1901-03-29,1923-06-30,Defeated,0,NA
Keeffe1919,QLD,1965-07-01,1983-02-04,Retired,0,NA
Kemp1944,VIC,1990-07-01,2008-06-30,Retired,0,NA
Kendall1899,QLD,1949-12-10,1965-06-30,Retired,0,NA
Keneally1968,NSW,2018-02-14,NA,NA,0,NA
Kennelly1900,VIC,1953-07-01,1971-06-30,Retired,0,NA
Kernot1948,QLD,1990-07-01,1997-10-15,Resigned,0,NA
Ketter1961,QLD,2014-07-01,2019-06-30,NA,0,NA
Kilgariff1923,NT,1975-12-13,1987-06-05,Retired,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Kingsmill1864,WA,1923-07-01,1935-01-15,Died,0,NA
Kirk1967,SA,2002-07-01,2008-06-30,Retired,0,NA
Kitching1970,VIC,2016-10-25,NA,NA,1,NA
Kneebone1876,SA,1931-04-01,1931-12-18,Defeated,1,NA
Knight1943,ACT,1975-12-13,1981-03-04,Died,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Knowles1951,WA,1984-12-01,2005-06-30,Retired,0,NA
Kroger1959,VIC,2008-07-01,2014-06-30,Defeated,0,NA
Lacey1900,TAS,1965-07-01,1971-06-30,Defeated,0,NA
Lajovic1921,NSW,1975-12-13,1985-06-30,Retired,0,NA
Lambie1971,TAS,2014-07-01,2017-11-14,Resigned,0,NA
Lambie1971,TAS,2019-07-01,NA,NA,NA,NA
Lamp1895,TAS,1938-07-01,1950-06-30,Defeated,0,NA
Large1878,NSW,1941-07-01,1951-03-19,Defeated,0,NA
Latham1882,WA,1942-10-08,1943-08-20,Defeated,1,NA
Laucke1914,SA,1967-11-02,1981-06-30,Retired,1,NA
Laught1907,SA,1951-04-28,1969-05-13,Died,0,NA
Lawrie1907,QLD,1965-07-01,1975-11-11,Retired,0,NA
Lawson1875,VIC,1929-07-01,1935-06-30,Retired,0,NA
Lazarus1965,QLD,2014-07-01,2016-07-02,Defeated,0,NA
Leckie1872,VIC,1935-07-01,1947-06-30,Defeated,0,NA
Lees1948,SA,1990-04-04,2005-06-30,Defeated,1,NA
Lewis1932,VIC,1976-12-17,1993-06-30,Retired,1,NA
Leyonhjelm1952,NSW,2014-07-01,2019-03-01,NA,0,NA
Lightfoot1936,WA,1997-05-19,2008-06-30,Retired,1,NA
Lillico1905,TAS,1959-07-01,1974-04-11,Retired,0,NA
Lindgren1969,QLD,2015-05-21,2016-07-02,Defeated,1,NA
Lines1953,WA,2013-05-15,NA,NA,1,NA
Little1914,VIC,1968-07-01,1974-05-18,Defeated,0,NA
Long1870,TAS,1910-07-01,1918-12-20,Resigned,0,NA
Loosley1952,NSW,1990-07-01,1995-05-19,Resigned,0,NA
Ludlam1970,WA,2008-07-01,2017-07-14,Resigned,0,NA
Ludwig1959,QLD,1999-07-01,2016-05-09,Retired,0,NA
